time_index,area,num_people
1,G,11
1,Outside,68
1,J,2
1,K,2
1,D,5
1,GH,6
1,N,1
1,IM1,10
1,F,5
1,H,8
1,E,12
1,IM2,3
1,L,4
1,C,3
1,M,1
1,B,1
1,A,0
2,G,10
2,Outside,77
2,J,1
2,K,3
2,D,6
2,GH,8
2,N,1
2,IM1,11
2,F,4
2,H,7
2,E,8
2,IM2,2
2,L,3
2,C,3
2,M,1
2,B,2
2,A,1
3,G,6
3,Outside,77
3,J,2
3,K,2
3,D,6
3,GH,7
3,N,1
3,IM1,1
3,F,6
3,H,8
3,E,11
3,IM2,2
3,L,1
3,C,1
3,M,1
3,B,4
3,A,0
4,G,8
4,Outside,79
4,J,2
4,K,5
4,D,7
4,GH,9
4,N,2
4,IM1,14
4,F,1
4,H,11
4,E,5
4,IM2,4
4,L,5
4,C,1
4,M,1
4,B,6
4,A,0
5,G,5
5,Outside,75
5,J,3
5,K,3
5,D,3
5,GH,7
5,N,1
5,IM1,13
5,F,10
5,H,8
5,E,5
5,IM2,8
5,L,5
5,C,4
5,M,1
5,B,4
5,A,0
6,G,10
6,Outside,78
6,J,2
6,K,5
6,D,4
6,GH,6
6,N,1
6,IM1,15
6,F,3
6,H,8
6,E,9
6,IM2,6
6,L,5
6,C,1
6,M,1
6,B,4
6,A,0
7,G,4
7,Outside,76
7,J,3
7,K,5
7,D,6
7,GH,5
7,N,1
7,IM1,14
7,F,8
7,H,7
7,E,9
7,IM2,6
7,L,2
7,C,1
7,M,1
7,B,4
7,A,0
8,G,5
8,Outside,77
8,J,3
8,K,3
8,D,4
8,GH,7
8,N,1
8,IM1,14
8,F,4
8,H,9
8,E,11
8,IM2,3
8,L,3
8,C,3
8,M,1
8,B,4
8,A,0
9,G,7
9,Outside,80
9,J,4
9,K,3
9,D,3
9,GH,10
9,N,1
9,IM1,12
9,F,5
9,H,9
9,E,9
9,IM2,3
9,L,4
9,C,3
9,M,1
9,B,6
9,A,0
10,G,7
10,Outside,81
10,J,4
10,K,3
10,D,3
10,GH,7
10,N,1
10,IM1,1
10,F,8
10,H,7
10,E,9
10,IM2,4
10,L,3
10,C,3
10,M,1
10,B,4
10,A,0
11,G,7
11,Outside,77
11,J,3
11,K,3
11,D,5
11,GH,9
11,N,2
11,IM1,16
11,F,4
11,H,7
11,E,8
11,IM2,3
11,L,1
11,C,3
11,M,1
11,B,5
11,A,0
12,G,6
12,Outside,81
12,J,2
12,K,2
12,D,6
12,GH,10
12,N,1
12,IM1,14
12,F,5
12,H,10
12,E,11
12,IM2,3
12,L,3
12,C,1
12,M,1
12,B,5
12,A,0
13,G,10
13,Outside,76
13,J,1
13,K,4
13,D,5
13,GH,4
13,N,1
13,IM1,16
13,F,5
13,H,8
13,E,8
13,IM2,1
13,L,1
13,C,3
13,M,2
13,B,5
13,A,0
14,G,5
14,Outside,79
14,J,4
14,K,3
14,D,4
14,GH,7
14,N,1
14,IM1,10
14,F,7
14,H,7
14,E,9
14,IM2,5
14,L,4
14,C,3
14,M,1
14,B,4
14,A,0
15,G,7
15,Outside,74
15,J,3
15,K,2
15,D,2
15,GH,6
15,N,1
15,IM1,14
15,F,6
15,H,11
15,E,8
15,IM2,4
15,L,2
15,C,2
15,M,1
15,B,5
15,A,0
16,G,11
16,Outside,70
16,J,3
16,K,7
16,D,4
16,GH,5
16,N,1
16,IM1,12
16,F,2
16,H,10
16,E,8
16,IM2,5
16,L,2
16,C,3
16,M,1
16,B,5
16,A,0
17,G,9
17,Outside,70
17,J,2
17,K,5
17,D,5
17,GH,8
17,N,2
17,IM1,16
