time_index,area,num_people
1,D,5
1,Outside,102
1,E,20
1,IM1,13
1,GH,4
1,L,3
1,G,11
1,M,1
1,N,2
1,H,7
1,F,13
1,C,6
1,IM2,5
1,J,1
1,K,5
1,B,2
1,A,0
2,D,8
2,Outside,115
2,E,14
2,IM1,13
2,GH,6
2,L,2
2,G,8
2,M,1
2,N,1
2,H,5
2,F,15
2,C,3
2,IM2,4
2,J,2
2,K,7
2,B,2
2,A,0
3,D,6
3,Outside,99
3,E,26
3,IM1,10
3,GH,7
3,L,1
3,G,5
3,M,1
3,N,1
3,H,5
3,F,11
3,C,5
3,IM2,5
3,J,3
3,K,6
3,B,1
3,A,2
4,D,5
4,Outside,114
4,E,15
4,IM1,12
4,GH,10
4,L,3
4,G,7
4,M,1
4,N,1
4,H,6
4,F,9
4,C,2
4,IM2,5
4,J,4
4,K,4
4,B,3
4,A,0
5,D,6
5,Outside,104
5,E,18
5,IM1,7
5,GH,9
5,L,1
5,G,6
5,M,1
5,N,1
5,H,4
5,F,12
5,C,2
5,IM2,1
5,J,5
5,K,7
5,B,1
5,A,0
6,D,8
6,Outside,86
6,E,18
6,IM1,13
6,GH,7
6,L,2
6,G,9
6,M,1
6,N,1
6,H,10
6,F,10
6,C,4
6,IM2,3
6,J,4
6,K,4
6,B,0
6,A,0
7,D,4
7,Outside,88
7,E,28
7,IM1,12
7,GH,5
7,L,3
7,G,14
7,M,1
7,N,1
7,H,4
7,F,5
7,C,2
7,IM2,5
7,J,5
7,K,3
7,B,1
7,A,0
8,D,5
8,Outside,99
8,E,21
8,IM1,8
8,GH,5
8,L,4
8,G,9
8,M,1
8,N,1
8,H,9
8,F,8
8,C,3
8,IM2,4
8,J,1
8,K,3
8,B,1
8,A,0
9,D,9
9,Outside,97
9,E,16
9,IM1,12
9,GH,6
9,L,1
9,G,5
9,M,2
9,N,1
9,H,9
9,F,7
9,C,2
9,IM2,2
9,J,4
9,K,6
9,B,1
9,A,0
10,D,6
10,Outside,102
10,E,14
10,IM1,13
10,GH,7
10,L,1
10,G,10
10,M,1
10,N,1
10,H,11
10,F,8
10,C,3
10,IM2,5
10,J,1
10,K,7
10,B,1
10,A,0
11,D,6
11,Outside,106
11,E,15
11,IM1,11
11,GH,7
11,L,0
11,G,8
11,M,1
11,N,1
11,H,7
11,F,11
11,C,3
11,IM2,4
11,J,2
11,K,5
11,B,3
11,A,0
12,D,6
12,Outside,111
12,E,17
12,IM1,13
12,GH,5
12,L,2
12,G,8
12,M,1
12,N,1
12,H,6
12,F,8
12,C,3
12,IM2,5
12,J,5
12,K,5
12,B,1
12,A,0
13,D,9
13,Outside,87
13,E,27
13,IM1,13
13,GH,5
13,L,1
13,G,5
13,M,1
13,N,1
13,H,8
13,F,11
13,C,3
13,IM2,4
13,J,2
13,K,7
13,B,1
13,A,0
14,D,4
14,Outside,99
14,E,19
14,IM1,11
14,GH,5
14,L,2
14,G,9
14,M,1
14,N,1
